Zipcode,Total population,Total household,Median household income
78724,24833.0,6360.0,45158.0
78759,41847.0,20240.0,76749.0
78745,62220.0,25857.0,60567.0
78660,85450.0,28469.0,81693.0
78730,8933.0,3678.0,108750.0
78738,15746.0,5964.0,123836.0
78739,20191.0,6367.0,147736.0
78758,46618.0,19397.0,50018.0
78741,52307.0,20758.0,39049.0
78617,27900.0,6520.0,52819.0
78750,30758.0,11713.0,81061.0
78747,20954.0,6364.0,79500.0
78727,28999.0,12937.0,74458.0
78731,27447.0,12556.0,89099.0
78753,58693.0,19947.0,45983.0
78734,18722.0,7392.0,107827.0
78705,33075.0,8370.0,15309.0
78733,8754.0,2920.0,136563.0
78610,32692.0,11243.0,76623.0
78744,48432.0,14345.0,47073.0
78756,8377.0,4246.0,73578.0
78722,7254.0,3111.0,69267.0
78725,7517.0,2544.0,62172.0
78757,24059.0,10746.0,65709.0
78748,49142.0,18820.0,74176.0
78721,12447.0,4197.0,41611.0
78736,8199.0,3023.0,107467.0
78732,17762.0,5689.0,142612.0
78749,37453.0,15215.0,92313.0
78653,20822.0,6332.0,66752.0
78742,517.0,218.0,33182.0
78704,47158.0,23213.0,66262.0
78728,21245.0,10029.0,55603.0
78702,22876.0,8937.0,54053.0
78754,23858.0,8009.0,64114.0
78726,14610.0,5554.0,88322.0
78701,7875.0,4855.0,112201.0
78735,17919.0,7193.0,102551.0
78729,29434.0,12622.0,73047.0
78751,14949.0,7463.0,54129.0
78752,20302.0,7932.0,41486.0
78737,15879.0,5305.0,127136.0
78723,33170.0,12518.0,49606.0
78703,20788.0,9723.0,98553.0
78746,28268.0,10848.0,136138.0
